DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,HourlyVisibility,HourlyDryBulbTemperature,HourlyWetBulbTemperature,HourlyWindSpeed,HourlyAltimeterSetting
2015-01-01T00:51:00,-2,0,83,CLR:00,10,2,1,0,30.18
2015-01-01T01:51:00,-5,0,82,CLR:00,10,-1,-2,3,30.17
2015-01-01T02:51:00,-3,0,80,CLR:00,10,2,1,0,30.18
2015-01-01T03:51:00,-5,0,75,CLR:00,10,1,0,5,30.17
2015-01-01T04:51:00,-4,0,79,CLR:00,10,1,0,3,30.16
2015-01-01T05:51:00,-6,0,83,CLR:00,10,-2,-3,0,30.15
2015-01-01T06:51:00,-5,0,75,CLR:00,10,1,0,3,30.16
2015-01-01T07:51:00,-4,0,83,CLR:00,10,0,-1,0,30.16
2015-01-01T08:51:00,-4,0,79,CLR:00,10,1,0,0,30.17
2015-01-01T09:51:00,0,0,76,CLR:00,10,6,5,3,30.19
2015-01-01T10:51:00,1,0,76,CLR:00,10,7,6,0,30.2
2015-01-01T11:51:00,2,0,67,CLR:00,10,11,9,3,30.18
2015-01-01T12:51:00,1,0,64,CLR:00,10,11,9,5,30.16
2015-01-01T13:51:00,0,0,56,CLR:00,10,13,10,5,30.15
2015-01-01T14:51:00,2,0,56,CLR:00,10,15,12,0,30.14
2015-01-01T15:51:00,2,0,56,CLR:00,10,15,12,0,30.16
2015-01-01T16:51:00,3,0,64,CLR:00,10,13,11,6,30.17
2015-01-01T17:51:00,4,0,67,CLR:00,10,13,11,0,30.18
2015-01-01T18:51:00,4,0,67,CLR:00,10,13,11,5,30.19
2015-01-01T19:51:00,5,0,73,CLR:00,10,12,10,0,30.2
2015-01-01T20:51:00,4,0,76,CLR:00,10,10,9,0,30.21
2015-01-01T21:51:00,3,0,77,CLR:00,10,9,8,0,30.2
2015-01-01T22:51:00,2,0,83,CLR:00,10,6,5,0,30.21
2015-01-01T23:51:00,0,0,79,CLR:00,10,5,4,5,30.21
2015-01-01T23:59:00,,,,,,,,,
2015-01-02T00:51:00,0,0,79,CLR:00,10,5,4,3,30.23
2015-01-02T01:51:00,1,0,79,CLR:00,10,6,5,3,30.23
2015-01-02T02:51:00,0,0,83,CLR:00,10,4,3,5,30.24
2015-01-02T03:51:00,1,0,83,CLR:00,9,5,4,0,30.23
2015-01-02T04:51:00,0,0,79,CLR:00,10,5,4,0,30.22
2015-01-02T05:51:00,1,0,79,CLR:00,9,6,5,0,30.21
2015-01-02T06:51:00,-1,0,88,CLR:00,8,2,1,0,30.21
2015-01-02T07:51:00,-1,0,83,CLR:00,9,3,2,0,30.22
2015-01-02T08:51:00,0,0,87,CLR:00,6,3,2,0,30.23
2015-01-02T09:51:00,4,0,83,CLR:00,8,8,7,0,30.23
2015-01-02T10:51:00,3,0,77,CLR:00,10,9,8,5,30.23
2015-01-02T11:51:00,4,0,70,CLR:00,10,12,10,0,30.2
2015-01-02T12:51:00,5,0,67,CLR:00,10,14,12,0,30.17
2015-01-02T13:51:00,6,0,65,CLR:00,10,16,13,0,30.15
2015-01-02T14:51:00,7,0,62,CLR:00,10,18,15,0,30.13
2015-01-02T15:51:00,8,0,65,CLR:00,10,18,15,3,30.13
2015-01-02T16:51:00,8,0,65,CLR:00,10,18,15,0,30.13
2015-01-02T17:51:00,8,0,77,CLR:00,10,14,12,0,30.13
2015-01-02T18:51:00,8,0,77,SCT:04 90,10,14,12,0,30.14
2015-01-02T19:51:00,8,0,77,OVC:08 85,10,14,12,0,30.14
2015-01-02T20:51:00,10,0,77,SCT:04 43 OVC:08 85,10,16,14,0,30.13
2015-01-02T21:51:00,11,0,74,OVC:08 42,10,18,16,0,30.11
2015-01-02T22:51:00,11,0,74,OVC:08 43,10,18,16,5,30.13
2015-01-02T23:51:00,11,0,74,OVC:08 43,10,18,16,3,30.11
2015-01-02T23:59:00,,,,,,,,,
2015-01-03T00:51:00,11,0,74,OVC:08 48,10,18,16,3,30.1
2015-01-03T01:51:00,11,0,74,OVC:08 50,10,18,16,0,30.11
2015-01-03T02:51:00,14,0,78,OVC:08 44,9,20,18,0,30.11
2015-01-03T03:51:00,14,0,78,OVC:08 44,9,20,18,3,30.12
2015-01-03T04:51:00,12,0,74,BKN:07 50 OVC:08 60,10,19,17,0,30.11
2015-01-03T05:51:00,13,0,74,BKN:07 47 OVC:08 70,9,20,18,0,30.1
2015-01-03T06:51:00,14,0,78,OVC:08 46,9,20,18,0,30.11
2015-01-03T07:51:00,15,0,78,OVC:08 47,8,21,19,5,30.12
2015-01-03T08:51:00,15,0,75,OVC:08 45,6,22,20,5,30.16
2015-01-03T09:51:00,16,0,78,OVC:08 42,6,22,20,0,30.18
2015-01-03T10:51:00,15,0,68,OVC:08 42,7,24,21,3,30.19
2015-01-03T11:51:00,15,0,66,OVC:08 39,8,25,22,0,30.19
2015-01-03T12:51:00,15,0,66,OVC:08 38,8,25,22,0,30.18
2015-01-03T13:51:00,16,0,66,OVC:08 36,8,26,23,3,30.18
2015-01-03T14:51:00,17,0,66,OVC:08 36,7,27,24,3,30.2
2015-01-03T15:51:00,17,0,63,OVC:08 36,7,28,24,0,30.22
2015-01-03T16:51:00,19,0,72,OVC:08 36,6,27,24,3,30.22
2015-01-03T17:51:00,18,0,71,OVC:08 43,8,26,23,3,30.25
2015-01-03T18:51:00,18,0,69,OVC:08 50,8,27,24,3,30.24
2015-01-03T19:51:00,19,0,78,BKN:07 50 OVC:08 120,7,25,23,3,30.26
2015-01-03T20:51:00,18,0,77,OVC:08 110,6,24,22,0,30.26
2015-01-03T21:51:00,17,0,82,FEW:02 110,6,22,20,0,30.26
2015-01-03T22:51:00,16,0,81,CLR:00,10,21,19,0,30.27
2015-01-03T23:51:00,15,0,81,CLR:00,10,20,18,0,30.29
2015-01-03T23:59:00,,,,,,,,,
2015-01-04T00:51:00,16,0,81,OVC:08 44,10,21,19,3,30.28
2015-01-04T01:51:00,17,0,78,OVC:08 43,10,23,21,5,30.28
2015-01-04T02:51:00,18,0,85,FEW:02 47 OVC:08 100,9,22,21,5,30.3
2015-01-04T03:51:00,17,0,75,OVC:08 100,10,24,22,3,30.31
2015-01-04T04:51:00,18,0,75,OVC:08 100,8,25,23,5,30.32
2015-01-04T05:51:00,18,0,75,OVC:08 100,8,25,23,0,30.33
2015-01-04T06:51:00,18,0,77,OVC:08 85,10,24,22,6,30.29
2015-01-04T07:51:00,18,0,77,BKN:07 120,9,24,22,8,30.32
2015-01-04T08:51:00,19,0,78,BKN:07 120,7,25,23,0,30.33
2015-01-04T09:51:00,20,0,72,OVC:08 80,7,28,25,0,30.35
2015-01-04T10:51:00,20,0,66,OVC:08 70,8,30,26,3,30.36
2015-01-04T11:51:00,20,0,61,FEW:02 70 OVC:08 110,8,32,28,0,30.34
2015-01-04T12:51:00,21,0,67,OVC:08 100,8,31,27,3,30.34
2015-01-04T13:51:00,23,0,69,OVC:08 65,8,32,29,10,30.35
2015-01-04T14:51:00,23,0,66,BKN:07 65 OVC:08 80,9,33,29,6,30.36
2015-01-04T15:51:00,25,0,75,OVC:08 75,7,32,29,7,30.38
2015-01-04T16:51:00,26,0,82,OVC:08 65,5,31,29,5,30.39
2015-01-04T17:51:00,24,0,73,OVC:08 60,9,32,29,0,30.41
2015-01-04T18:51:00,24,0,76,OVC:08 70,8,31,28,3,30.41
2015-01-04T19:51:00,25,0,79,SCT:04 55 OVC:08 70,7,31,29,0,30.39
2015-01-04T20:51:00,24,0,82,OVC:08 65,6,29,27,3,30.41
2015-01-04T21:51:00,25,0,79,OVC:08 60,7,31,29,3,30.38
2015-01-04T22:51:00,25,0,82,OVC:08 60,6,30,28,5,30.4
2015-01-04T23:51:00,26,0,85,OVC:08 60,5,30,28,3,30.41
2015-01-04T23:59:00,,,,,,,,,
2015-01-05T00:51:00,25,0,85,OVC:08 60,6,29,27,5,30.37
2015-01-05T01:51:00,25,0,82,OVC:08 55,6,30,28,7,30.37
2015-01-05T02:51:00,24,0,76,OVC:08 55,7,31,28,10,30.4
2015-01-05T03:51:00,24,0,76,OVC:08 49,7,31,28,9,30.39
2015-01-05T04:51:00,25,0,79,OVC:08 50,8,31,29,8,30.38
2015-01-05T05:51:00,25,0,79,BKN:07 50 OVC:08 70,7,31,29,9,30.37
2015-01-05T06:51:00,25,0,75,OVC:08 60,8,32,29,7,30.37
2015-01-05T07:51:00,25,0,75,BKN:07 50 OVC:08 65,9,32,29,8,30.38
2015-01-05T08:51:00,25,0,75,OVC:08 65,8,32,29,7,30.4
2015-01-05T09:51:00,26,0,73,OVC:08 65,8,34,31,8,30.41
2015-01-05T10:51:00,27,0,75,OVC:08 60,8,34,31,6,30.41
2015-01-05T11:51:00,27,0,72,OVC:08 60,8,35,32,13,30.41
2015-01-05T12:51:00,27,0,72,OVC:08 60,9,35,32,7,30.4
2015-01-05T13:51:00,27,0,70,OVC:08 55,10,36,32,9,30.39
2015-01-05T14:51:00,27,0,70,OVC:08 50,10,36,32,6,30.41
2015-01-05T15:51:00,27,0,67,OVC:08 55,10,37,33,8,30.43
2015-01-05T16:51:00,27,T,67,OVC:08 55,10,37,33,7,30.45
2015-01-05T17:51:00,28,0.01,73,OVC:08 50,10,36,33,3,30.45
2015-01-05T18:51:00,30,0,85,OVC:08 50,8,34,32,0,30.46
2015-01-05T19:51:00,30,0,85,OVC:08 50,7,34,32,7,30.48
2015-01-05T20:51:00,29,0,78,OVC:08 49,10,35,33,6,30.49
2015-01-05T21:51:00,30,0,85,OVC:08 46,8,34,32,3,30.49
2015-01-05T22:51:00,30,0,85,OVC:08 46,8,34,32,0,30.51
2015-01-05T23:51:00,30,0,85,OVC:08 46,8,34,32,0,30.5
2015-01-05T23:59:00,,,,,,,,,
2015-01-06T00:51:00,31,0,85,OVC:08 43,8,35,33,0,30.5
2015-01-06T01:51:00,30,0,85,OVC:08 44,8,34,32,3,30.52
2015-01-06T02:51:00,30,0,85,OVC:08 46,8,34,32,0,30.54
2015-01-06T03:51:00,31,0,89,OVC:08 46,7,34,33,0,30.53
2015-01-06T04:51:00,30,0,89,BKN:07 44,7,33,32,0,30.51
2015-01-06T05:51:00,28,0,89,SCT:04 44,6,31,30,3,30.51
2015-01-06T06:51:00,25,0,96,CLR:00,5,26,26,3,30.52
2015-01-06T07:51:00,24,0,92,CLR:00,5,26,25,3,30.55
2015-01-06T08:51:00,28,0,92,CLR:00,4,30,29,0,30.57
2015-01-06T09:51:00,30,0,85,CLR:00,5,34,32,0,30.58
2015-01-06T10:51:00,30,0,85,CLR:00,5,34,32,0,30.58
2015-01-06T11:51:00,30,0,79,CLR:00,6,36,33,3,30.56
2015-01-06T12:51:00,30,0,73,CLR:00,7,38,35,3,30.54
2015-01-06T13:51:00,30,0,70,CLR:00,7,39,35,3,30.5
2015-01-06T14:51:00,31,0,70,CLR:00,8,40,36,0,30.5
2015-01-06T15:51:00,32,0,76,CLR:00,9,39,36,5,30.5
2015-01-06T16:51:00,31,0,76,CLR:00,8,38,35,0,30.52
2015-01-06T17:51:00,30,0,79,CLR:00,9,36,33,3,30.51
2015-01-06T18:51:00,29,0,88,CLR:00,7,32,31,0,30.52
2015-01-06T19:51:00,29,0,88,CLR:00,7,32,31,5,30.52
2015-01-06T20:51:00,26,0,89,CLR:00,5,29,28,0,30.52
2015-01-06T21:51:00,25,0,88,CLR:00,5,28,27,0,30.53
2015-01-06T22:51:00,25,0,92,CLR:00,5,27,26,3,30.53
2015-01-06T23:51:00,24,0,92,CLR:00,3,26,25,0,30.53
2015-01-06T23:59:00,,,,,,,,,
2015-01-07T00:39:00,23,,92,CLR:00,2.50V,25,24,0,30.52
2015-01-07T00:49:00,23,,86,CLR:00,3,27,26,0,30.52
2015-01-07T00:51:00,23,0,88,CLR:00,3,26,25,3,30.52
2015-01-07T01:20:00,24,,92,CLR:00,2.5,26,25,3,30.53
2015-01-07T01:29:00,24,,92,CLR:00,3,26,25,3,30.52
2015-01-07T01:44:00,24,,96,CLR:00,2.5,25,25,5,30.53
2015-01-07T01:49:00,23,,93,VV:09 5,1,25,24,3,30.53
2015-01-07T01:51:00,23,0,92,VV:09 5,0.75,25,24,3,30.53
2015-01-07T01:59:00,24,,92,FEW:02 5,1.25,26,25,3,30.53
2015-01-07T02:05:00,24,,92,CLR:00,2,26,25,5,30.54
2015-01-07T02:13:00,25,,92,FEW:02 6,2,27,26,5,30.54
2015-01-07T02:51:00,22,0,88,CLR:00,2.5,25,24,0,30.54
2015-01-07T03:10:00,22,,88,CLR:00,1.75,25,24,0,30.54
2015-01-07T03:18:00,23,,92,CLR:00,0.5,25,24,0,30.54
2015-01-07T03:29:00,22,,91,VV:09 3,0.5,24,23,3,30.54
2015-01-07T03:40:00,22,,91,SCT:04 3,1.5,24,23,5,30.54
2015-01-07T03:42:00,22,,88,SCT:04 3,3,25,24,3,30.53
2015-01-07T03:51:00,23,0,92,SCT:04 3,4,25,24,5,30.53
2015-01-07T04:39:00,21,,96,CLR:00,1.5,22,22,0,30.52
2015-01-07T04:41:00,20,,92,VV:09 4,0.75,22,21,0,30.52
2015-01-07T04:51:00,20,0,92,VV:09 2,0.25,22,21,0,30.52
2015-01-07T05:51:00,22,0,91,VV:09 2,0.25,24,23,5,30.51
2015-01-07T06:51:00,21,0,92,VV:09 2,0.25,23,22,0,30.52
2015-01-07T07:51:00,19,0,81,VV:09 1,0.25s,24,22,0,30.54
2015-01-07T08:51:00,20,0,84,VV:09 2,0,24,23,0,30.55
2015-01-07T09:51:00,24,0,82,VV:09 1,0.25s,29,27,0,30.55
2015-01-07T10:21:00,27,,88,OVC:08 1,1.25,30,29,0,30.55
2015-01-07T10:33:00,27,,85,BKN:07 1,2.5,31,29,0,30.54
2015-01-07T10:39:00,28,,89,SCT:04 1,3,31,30,0,30.54
2015-01-07T10:51:00,29,0,92,CLR:00,3,31,30,0,30.54
2015-01-07T11:51:00,29,0,88,CLR:00,7,32,31,3,30.5
2015-01-07T12:51:00,30,0,82,CLR:00,7,35,33,0,30.47
2015-01-07T13:51:00,30,0,70,CLR:00,8,39,35,0,30.43
2015-01-07T14:51:00,31,0,70,CLR:00,6,40,36,0,30.41
2015-01-07T15:51:00,31,0,67,CLR:00,6,41,37,0,30.4
2015-01-07T16:51:00,31,0,73,CLR:00,8,39,36,0,30.39
2015-01-07T17:51:00,31,0,79,CLR:00,7,37,34,3,30.37
2015-01-07T18:51:00,29,0,85,CLR:00,7,33,31,5,30.35
2015-01-07T19:51:00,29,0,88,CLR:00,6,32,31,3,30.33
2015-01-07T20:51:00,26,0,89,CLR:00,5,29,28,0,30.34
2015-01-07T21:51:00,26,0,92,CLR:00,5,28,27,6,30.34
2015-01-07T22:51:00,27,0,88,CLR:00,5,30,29,6,30.32
2015-01-07T23:51:00,24,0,92,CLR:00,4,26,25,6,30.31
2015-01-07T23:59:00,,,,,,,,,
2015-01-08T00:51:00,25,0,88,CLR:00,5,28,27,0,30.29
2015-01-08T01:51:00,24,0,89,CLR:00,4,27,26,0,30.29
2015-01-08T02:51:00,21,0,88,CLR:00,3,24,23,3,30.3
2015-01-08T03:51:00,21,0,85,CLR:00,5,25,24,0,30.3
2015-01-08T04:09:00,22,,91,CLR:00,1.75,24,23,0,30.29
2015-01-08T04:16:00,20,,88,CLR:00,3,23,22,3,30.29
2015-01-08T04:51:00,22,0,88,CLR:00,4,25,24,7,30.27
2015-01-08T05:14:00,23,,92,FEW:02 4,3,25,24,8,30.26
2015-01-08T05:25:00,23,,92,BKN:07 2,2.5,25,24,5,30.27
2015-01-08T05:45:00,24,,92,BKN:07 2,0.75,26,25,5,30.26
2015-01-08T05:51:00,24,0,92,VV:09 2,0.5,26,25,3,30.26
2015-01-08T06:51:00,21,0,88,VV:09 2,0.25,24,23,0,30.26
2015-01-08T07:14:00,20,,88,,0.25,23,22,0,30.26
2015-01-08T07:46:00,21,,92,OVC:08 3,0.25,23,22,0,30.27
2015-01-08T07:51:00,21,0,92,OVC:08 3,0.5,23,22,0,30.27
2015-01-08T08:51:00,23,0,92,VV:09 2,0,25,24,0,30.28
2015-01-08T09:51:00,24,0,89,VV:09 2,0,27,26,0,30.28
2015-01-08T10:51:00,26,0,92,VV:09 2,0.25,28,27,3,30.3
2015-01-08T11:51:00,28,0,92,VV:09 2,0,30,29,0,30.27
2015-01-08T12:51:00,30,0,92,VV:09 2,0.25,32,31,0,30.24
2015-01-08T13:51:00,32,0,92,VV:09 2,0.75,34,33,0,30.2
2015-01-08T14:00:00,32,,92,BKN:07 2,1.25,34,33,0,30.2
2015-01-08T14:06:00,32,,92,BKN:07 2,3,34,33,3,30.2
2015-01-08T14:11:00,32,,92,BKN:07 2,2.5,34,33,3,30.2
2015-01-08T14:14:00,32,,92,SCT:04 2,3,34,33,3,30.19
2015-01-08T14:51:00,32,0,86,CLR:00,8,36,34,3,30.2
2015-01-08T15:51:00,32,0,76,CLR:00,9,39,36,0,30.2
2015-01-08T16:51:00,32,0,79,CLR:00,9,38,35,0,30.2
2015-01-08T17:51:00,31,0,79,CLR:00,9,37,34,0,30.2
2015-01-08T18:51:00,29,0,88,CLR:00,7,32,31,3,30.2
2015-01-08T19:51:00,28,0,89,CLR:00,7,31,30,0,30.2
2015-01-08T20:51:00,26,0,92,CLR:00,5,28,27,5,30.21
2015-01-08T21:51:00,25,0,88,CLR:00,5,28,27,0,30.22
2015-01-08T22:51:00,25,0,88,CLR:00,4,28,27,3,30.21
2015-01-08T23:38:00,23,,92,CLR:00,2.5,25,24,0,30.21
2015-01-08T23:45:00,23,,92,FEW:02 4,1.5,25,24,0,30.21
2015-01-08T23:51:00,23,0,88,VV:09 4,1,26,25,0,30.21
2015-01-08T23:58:00,24,,92,VV:09 5,0.75,26,25,0,30.21
2015-01-08T23:59:00,,,,,,,,,
2015-01-09T00:05:00,23,,92,VV:09 4,0.25,25,24,3,30.21
2015-01-09T00:51:00,24,0,96,VV:09 2,0.25,25,25,0,30.2
2015-01-09T01:51:00,24,0,92,VV:09 1,0,26,25,0,30.2
2015-01-09T02:51:00,24,0,96,VV:09 2,0.25,25,25,0,30.21
2015-01-09T03:51:00,23,0,88,VV:09 2,0.25,26,25,0,30.2
2015-01-09T04:51:00,22,0,81,VV:09 2,0.25s,27,25,0,30.19
2015-01-09T05:51:00,21,0,85,VV:09 2,0.25,25,24,0,30.19
2015-01-09T06:51:00,21,0,85,VV:09 2,0.25,25,24,0,30.2
2015-01-09T07:51:00,22,0,84,VV:09 2,0.25,26,25,0,30.21
2015-01-09T08:51:00,23,0,85,VV:09 2,0,27,26,0,30.22
2015-01-09T09:51:00,23,0,85,VV:09 2,0,27,26,3,30.23
2015-01-09T10:51:00,25,0,88,VV:09 2,0.25,28,27,0,30.24
2015-01-09T11:51:00,25,0,85,VV:09 2,0.25,29,27,0,30.21
2015-01-09T12:51:00,26,0,89,VV:09 2,0,29,28,0,30.17
2015-01-09T13:51:00,27,0,88,VV:09 2,0.25,30,29,0,30.15
2015-01-09T14:51:00,28,0,92,VV:09 2,0.25,30,29,0,30.15
2015-01-09T15:51:00,27,0,88,VV:09 2,0.25,30,29,0,30.14
2015-01-09T16:51:00,28,0,92,VV:09 2,0.25,30,29,0,30.13
2015-01-09T17:51:00,28,0,92,VV:09 2,0.25,30,29,3,30.12
2015-01-09T18:51:00,27,0,88,VV:09 2,0.25,30,29,0,30.11
2015-01-09T19:51:00,26,0,89,VV:09 2,0.25,29,28,0,30.12
2015-01-09T20:51:00,26,0,89,VV:09 2,0.25,29,28,0,30.12
2015-01-09T21:51:00,26,0,89,VV:09 2,0.25,29,28,0,30.12
2015-01-09T22:51:00,25,0,88,VV:09 2,0.25,28,27,0,30.11
2015-01-09T23:51:00,25,0,88,VV:09 2,0.25,28,27,0,30.1
2015-01-09T23:59:00,,,,,,,,,
2015-01-10T00:51:00,25,0,88,VV:09 2,0.25,28,27,0,30.09
2015-01-10T01:51:00,25,0,88,VV:09 2,0.25,28,27,3,30.09
2015-01-10T02:51:00,25,0,88,VV:09 2,0.5,28,27,0,30.09
2015-01-10T03:51:00,25,0,88,VV:09 2,0.25,28,27,0,30.08
2015-01-10T04:51:00,25,0,88,VV:09 2,0.25,28,27,0,30.07
2015-01-10T05:51:00,25,0,88,VV:09 2,0.25,28,27,0,30.07
2015-01-10T06:51:00,24,0,85,VV:09 2,0.5,28,26,0,30.07
2015-01-10T07:51:00,24,0,89,VV:09 2,0.25,27,26,0,30.07
2015-01-10T08:51:00,24,0,85,VV:09 2,0.25,28,26,0,30.08
2015-01-10T09:51:00,24,0,85,VV:09 2,0.25,28,27,5,30.1
2015-01-10T10:51:00,24,0,85,VV:09 2,0.25,28,27,5,30.1
2015-01-10T11:51:00,26,0,89,VV:09 2,0.25,29,28,0,30.07
2015-01-10T12:51:00,26,0,89,VV:09 2,0.25,29,28,0,30.04
2015-01-10T13:51:00,27,0,88,VV:09 2,0.25,30,29,0,30.02
2015-01-10T14:51:00,27,0,88,VV:09 2,0.25,30,29,0,30.02
2015-01-10T15:51:00,27,0,88,VV:09 2,0.25,30,29,0,30.03
2015-01-10T16:51:00,27,0,88,VV:09 2,0.25,30,29,0,30.03
2015-01-10T17:51:00,27,0,88,VV:09 2,0.5,30,29,0,30.03
2015-01-10T18:30:00,27,,85,VV:09 2,1,31,29,0,30.04
2015-01-10T18:44:00,27,,85,OVC:08 3,3,31,29,0,30.04
2015-01-10T18:49:00,27,,86,OVC:08 3,2,30,29,0,30.04
2015-01-10T18:51:00,27,0,85,OVC:08 3,1.75,31,29,0,30.04
2015-01-10T19:28:00,27,,88,OVC:08 2,2,30,29,0,30.03
2015-01-10T19:39:00,28,,92,OVC:08 2,3,30,29,0,30.04
2015-01-10T19:48:00,28,,93,OVC:08 2,2.5,30,29,0,30.03
2015-01-10T19:51:00,28,0,92,OVC:08 2,2,30,29,0,30.03
2015-01-10T20:23:00,27,,88,OVC:08 2,3,30,29,3,30.03
2015-01-10T20:49:00,27,,86,SCT:04 2 OVC:08 55,5,30,29,0,30.03
2015-01-10T20:51:00,27,0,88,SCT:04 2 OVC:08 60,5,30,29,0,30.03
2015-01-10T21:21:00,27,,88,BKN:07 3 BKN:07 41 OVC:08 50,2.5,30,29,5,30.04
2015-01-10T21:35:00,28,,92,OVC:08 2,4,30,29,3,30.04
2015-01-10T21:51:00,28,0,92,BKN:07 3 OVC:08 40,5,30,29,0,30.04
2015-01-10T21:57:00,28,,92,SCT:04 3 OVC:08 40,5,30,29,0,30.04
2015-01-10T22:51:00,28,0,89,OVC:08 37,7,31,30,0,30.04
2015-01-10T23:51:00,28,0,89,OVC:08 36,6,31,30,0,30.04
2015-01-10T23:59:00,,,,,,,,,
2015-01-11T00:51:00,29,T,92,OVC:08 32,5,31,30,0,30.04
2015-01-11T01:51:00,29,T,96,OVC:08 29,4,30,30,0,30.05
2015-01-11T01:57:00,29,,96,OVC:08 30,4,30,30,0,30.05
2015-01-11T02:08:00,29,T,92,OVC:08 29,4,31,30,0,30.05
2015-01-11T02:51:00,29,T,92,OVC:08 24,3,31,30,3,30.06
2015-01-11T03:08:00,29,T,92,OVC:08 23,2.5,31,30,0,30.06
2015-01-11T03:24:00,29,T,92,BKN:07 24 OVC:08 29,3,31,30,0,30.06
2015-01-11T03:32:00,29,T,92,BKN:07 29 OVC:08 40,2.5,31,30,3,30.06
2015-01-11T03:36:00,30,T,92,BKN:07 32 OVC:08 40,3,32,31,3,30.06
2015-01-11T03:43:00,30,T,92,FEW:02 30 OVC:08 38,3,32,31,0,30.06
2015-01-11T03:49:00,30,,93,FEW:02 30 BKN:07 38 OVC:08 47,4,32,31,0,30.06
2015-01-11T03:51:00,30,T,92,FEW:02 30 OVC:08 40,4,32,31,0,30.06
2015-01-11T04:39:00,30,T,92,FEW:02 20 SCT:04 29 OVC:08 43,4,32,31,0,30.06
2015-01-11T04:45:00,30,T,92,FEW:02 20 BKN:07 27 OVC:08 40,3,32,31,0,30.06
2015-01-11T04:51:00,30,T,92,BKN:07 29 OVC:08 45,4,32,31,0,30.06
2015-01-11T05:00:00,31,T,96,FEW:02 5 OVC:08 29,4,32,32,0,30.06
2015-01-11T05:11:00,31,T,96,BKN:07 4 OVC:08 28,3,32,32,0,30.06
2015-01-11T05:41:00,31,T,96,SCT:04 4 BKN:07 23 OVC:08 46,3,32,32,0,30.06
2015-01-11T05:51:00,31,T,96,BKN:07 4 OVC:08 30,3,32,32,0,30.05
2015-01-11T06:11:00,31,T,96,SCT:04 3 BKN:07 24 OVC:08 42,3,32,32,0,30.06
2015-01-11T06:26:00,30,T,92,FEW:02 3 SCT:04 24 OVC:08 42,4,32,31,0,30.05
2015-01-11T06:48:00,30,T,93,BKN:07 24 OVC:08 43,4,32,31,0,30.06
2015-01-11T06:51:00,31,T,96,BKN:07 24 OVC:08 43,4,32,32,0,30.06
2015-01-11T07:09:00,30,,92,SCT:04 24 OVC:08 41,4,32,31,3,30.07
2015-01-11T07:14:00,31,,96,BKN:07 24 OVC:08 42,4,32,32,3,30.07
2015-01-11T07:24:00,31,,96,SCT:04 25 OVC:08 44,3,32,32,3,30.06
2015-01-11T07:49:00,30,,93,BKN:07 38 OVC:08 48,3,32,31,3,30.07
2015-01-11T07:51:00,31,T,96,OVC:08 38,3,32,32,3,30.07
2015-01-11T08:04:00,31,T,96,OVC:08 38,3,32,32,0,30.07
2015-01-11T08:15:00,31,T,96,BKN:07 38 BKN:07 49 OVC:08 60,2.5,32,32,3,30.07
2015-01-11T08:51:00,31,T,96,OVC:08 35,2.5,32,32,5,30.1
2015-01-11T09:49:00,30,,87,OVC:08 60,3,34,32,3,30.11
2015-01-11T09:51:00,31,0,92,OVC:08 60,3,33,32,0,30.11
2015-01-11T10:06:00,32,,96,OVC:08 60,2.5,33,33,6,30.12
2015-01-11T10:22:00,32,,96,FEW:02 2 OVC:08 60,2.5,33,33,0,30.13
2015-01-11T10:33:00,32,,92,SCT:04 4 BKN:07 35 OVC:08 60,3,34,33,0,30.13
2015-01-11T10:38:00,32,,92,BKN:07 4 BKN:07 35 OVC:08 60,3,34,33,0,30.13
2015-01-11T10:51:00,31,0,89,BKN:07 3 OVC:08 35,2.5,34,33,0,30.13
2015-01-11T11:02:00,32,,92,SCT:04 3 BKN:07 35 OVC:08 55,2.5,34,33,0,30.13
2015-01-11T11:26:00,33,,97,SCT:04 3 OVC:08 60,3,34,34,0,30.12
2015-01-11T11:51:00,32,0,92,FEW:02 3 OVC:08 60,3,34,33,3,30.12
2015-01-11T12:13:00,33,,93,SCT:04 3 BKN:07 9 OVC:08 60,3,35,34,0,30.11
2015-01-11T12:51:00,33,0,89,FEW:02 6 BKN:07 37 OVC:08 60,3,36,35,0,30.11
2015-01-11T13:51:00,34,0,89,SCT:04 48 OVC:08 60,3,37,36,0,30.1
2015-01-11T14:32:00,35,,89,OVC:08 55,2.5,38,37,0,30.1
2015-01-11T14:49:00,36,,93,FEW:02 7 SCT:04 45 OVC:08 55,2.5,37,37,0,30.1
2015-01-11T14:51:00,35,T,89,FEW:02 7 BKN:07 47 OVC:08 60,2.5,38,37,0,30.1
2015-01-11T15:51:00,35,T,93,OVC:08 41,2,37,36,3,30.11
2015-01-11T16:02:00,35,,93,SCT:04 41 OVC:08 50,1.75,37,36,3,30.11
2015-01-11T16:51:00,35,T,97,SCT:04 34 OVC:08 45,1.5,36,36,3,30.13
2015-01-11T17:24:00,35,0.01,97,BKN:07 35 OVC:08 46,2.5,36,36,5,30.13
2015-01-11T17:51:00,35,0.01,97,BKN:07 46 OVC:08 65,2,36,36,3,30.13
2015-01-11T18:07:00,34,,96,FEW:02 28 BKN:07 47 OVC:08 60,1.5,35,35,3,30.14
2015-01-11T18:51:00,35,0,97,FEW:02 25 BKN:07 42 OVC:08 50,1.25,36,36,5,30.15
